,origin_x,origin_y,destination_x,destination_y,treq,hub,ttrav,tarr,u,dist_OH,u_PT_OD,u_PT_HD,u_SUM_OD,p_SUM
34,19.87109773,50.01269567,19.9291635675951,50.042482897524046,2024-03-28 08:12:09,1989392511,352.3333333333333,2024-03-28 08:18:01,4.228,2114,17.95057161649629,6.027381127796925,12.835381127796925,0.9940310089273011
35,19.88299314,50.01481664,19.92168228026507,50.028237756414214,2024-03-28 08:07:09,1989392511,188.66666666666666,2024-03-28 08:10:17,2.264,1132,12.03012586461016,5.13919338340691,9.98319338340691,0.8856372958663071
36,19.88219409,50.01427071,19.92168228026507,50.028237756414214,2024-03-28 07:57:23,1989392511,187.16666666666666,2024-03-28 08:00:30,2.246,1123,8.95189075180546,5.13919338340691,9.96519338340691,0.2663340180461215
37,19.87296091,50.01887128,19.87261017257536,50.09032420599024,2024-03-28 08:05:52,1989392511,272.3333333333333,2024-03-28 08:10:24,3.268,1634,9.702707368350149,20.040705526284796,25.888705526284795,9.343514745945708e-08
38,19.87751637,50.01747193,19.95211908164373,50.056008909455784,2024-03-28 08:00:20,1989392511,214.83333333333334,2024-03-28 08:03:54,2.5780000000000003,1289,25.851431278154795,10.552345112707899,15.7103451127079,0.9999605755978958
39,19.87394749,50.01411525,19.86517482021967,49.99033788575227,2024-03-28 07:51:57,1989392511,250.33333333333334,2024-03-28 07:56:07,3.004,1502,16.369829962301633,5.03658593982136,10.62058593982136,0.9968249253920052
40,19.87181261,50.00708936,19.886275110704297,50.022902472667816,2024-03-28 08:07:51,1989392511,361.5,2024-03-28 08:13:52,4.338,2169,8.953000789439294,5.76275330819571,12.68075330819571,0.023482148920053073
41,19.88345719,50.01458222,20.01145369249892,50.08336691391546,2024-03-28 08:00:11,1989392511,188.66666666666666,2024-03-28 08:03:19,2.264,1132,8.535787217943884,14.396499736797102,19.240499736797105,2.243844091766513e-05
42,19.88346897,50.01332848,19.86152711303839,50.017915223637544,2024-03-28 08:08:36,1989392511,124.0,2024-03-28 08:10:40,1.488,744,20.181471090179226,8.009543571382475,12.077543571382474,0.9996977420670272
43,19.87337949,50.00827714,19.866735711164115,50.06420326341105,2024-03-28 07:46:09,1989392511,357.8333333333333,2024-03-28 07:52:06,4.294,2147,10.434543759358041,16.176078082691177,23.05007808269118,3.32002699725493e-06
44,19.87501332,50.01061956,19.90664300481499,50.03013095170665,2024-03-28 08:01:46,1989392511,325.8333333333333,2024-03-28 08:07:11,3.91,1955,,4.1331937217564745,,
45,19.87830862,50.01510253,20.017170440865435,50.07626902768226,2024-03-28 08:05:09,1989392511,187.0,2024-03-28 08:08:16,2.244,1122,20.41691255636605,12.973976014968025,17.797976014968025,0.9320704042963022
46,19.86528751,50.02245458,19.91873239637311,50.01376946390524,2024-03-28 07:45:04,1989392511,392.0,2024-03-28 07:51:36,4.704,2352,8.782043308211843,7.70071274427708,14.98471274427708,0.0020199320415723973
47,19.87343987,50.01387774,19.805617242245603,50.00808953483236,2024-03-28 07:59:06,1989392511,250.33333333333334,2024-03-28 08:03:16,3.004,1502,17.72149203001672,8.176978308236043,13.760978308236043,0.9813029178875309
48,19.86569399,50.01525589,19.896832819715183,50.023389904983894,2024-03-28 07:48:05,1989392511,327.0,2024-03-28 07:53:32,3.924,1962,16.638637105123046,3.6977589473416734,10.201758947341673,0.9984011621783097
49,19.8744436,50.01338052,20.01900686992005,50.06164160374003,2024-03-28 07:55:27,1989392511,303.3333333333333,2024-03-28 08:00:30,3.6399999999999997,1820,9.706004360870171,14.773354172854273,20.993354172854275,1.2530281260463403e-05
50,19.88333897,50.01292177,19.830937746661448,50.007847520833444,2024-03-28 07:51:16,1989392511,145.5,2024-03-28 07:53:41,1.746,873,10.791187894707546,13.478394210463904,17.804394210463904,0.0008991094094601853
51,19.88293136,50.01645426,19.890428160790396,50.01147754141,2024-03-28 07:56:26,1989392511,152.0,2024-03-28 07:58:58,1.824,912,20.43551304504928,4.971191992415154,9.375191992415154,0.9999842762268348
52,19.85848586,50.00552538,19.892438474362567,50.03139405455042,2024-03-28 08:08:33,1989392511,528.0,2024-03-28 08:17:21,6.336,3168,16.174747744301282,7.681428984910973,16.597428984910973,0.3958753311613322
53,19.87548272,50.01200694,20.05021858011516,50.07222024546274,2024-03-28 07:46:54,1989392511,284.0,2024-03-28 07:51:38,3.408,1704,5.526575751861929,15.751196278114458,21.739196278114456,9.098050199004184e-08
54,19.8647164,50.00978851,19.981165664401694,50.08206735343906,2024-03-28 08:09:19,1989392511,533.8333333333334,2024-03-28 08:18:12,6.406000000000001,3203,12.702458721748405,14.973433308252178,23.95943330825218,1.2916725922268073e-05
55,19.88426342,50.01458461,19.96285314488492,50.06240333080091,2024-03-28 07:52:39,1989392511,188.66666666666666,2024-03-28 07:55:47,2.264,1132,20.86487278187865,10.52358139093529,15.367581390935289,0.9959188679813928
