,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
86,19.87073263,50.01808339,19.90989549802081,50.026607780825934,2024-03-28 07:53:05,86,1989392511,188,2024-03-28 07:56:13,2.356,188.0,2024-03-28 07:56:13,2.356,10.021194605206407,5.212220087625398,10.14899749575489,0.4680926955840103,1
89,19.85851229,50.00579094,19.896832819715183,50.02338990498389,2024-03-28 08:06:55,89,1989392511,99,2024-03-28 08:08:34,1.2389999999999999,99.0,2024-03-28 08:08:34,1.2389999999999999,9.703095131547672,4.126385438565285,7.946162846694777,0.8528250340882747,1
93,19.87045782,50.02010288,19.850850046789407,50.06730964043595,2024-03-28 08:10:43,93,1989392511,214,2024-03-28 08:14:17,2.6825,229.0,2024-03-28 08:14:32,2.63425,20.464432412245536,14.414344078912201,19.629371487041695,0.6974239712170643,1
94,19.87082773,50.0117575,19.90664300481499,50.03013095170665,2024-03-28 07:55:58,94,1989392511,379,2024-03-28 08:02:17,4.7405,393.0,2024-03-28 08:02:31,4.705900000000001,11.075370526240429,4.623892675382553,11.910570083512045,0.30254677492128024,1
95,19.8711635,50.02084997,19.7630542739841,50.11908686112967,2024-03-28 07:49:07,95,1989392511,487,2024-03-28 07:57:14,6.089,506.0,2024-03-28 07:57:33,5.935025,45.427290263118195,34.1630041666344,42.6788065747639,0.9398276570939792,1
96,19.86082188,50.00551453,19.95983851288684,50.01008605848627,2024-03-28 08:08:05,96,1989392511,126,2024-03-28 08:10:11,1.5825,126.0,2024-03-28 08:10:11,1.5825,19.58817157882884,9.884259780629293,14.047537188758785,0.996091301198842,1
98,19.86385437,50.00908806,19.97750499776451,50.05787688227596,2024-03-28 07:50:37,98,1989392511,164,2024-03-28 07:53:21,2.0575,164.0,2024-03-28 07:53:21,2.0467500000000003,23.40197728064812,14.294425701714406,18.921953109843898,0.9887938615073908,1
100,19.87395682,50.01472361,19.90989549802081,50.026607780825934,2024-03-28 08:06:29,100,1989392511,127,2024-03-28 08:08:36,1.5875,127.0,2024-03-28 08:08:36,1.5875,8.327127280648117,5.212220087625398,9.380497495754888,0.2585784523554422,1
102,19.87275623,50.01861061,19.96653300867659,50.056903793509896,2024-03-28 08:06:02,102,1989392511,107,2024-03-28 08:07:49,1.345,107.0,2024-03-28 08:07:49,1.3383250000000002,21.023864868304436,14.768189210488107,18.6872916186176,0.9118610640771455,1
103,19.87881106,50.01945402,19.956659023107136,50.05414863642009,2024-03-28 08:03:38,103,1989392511,136,2024-03-28 08:05:54,1.7015,136.0,2024-03-28 08:05:54,1.7015,17.927509341983345,12.136648552584383,16.418925960713874,0.8188511691286672,1
