FID,x,y,adr_pelny,ogolem
74,19.8837563,50.07899964,NA BŁONIE 11A,344
75,20.01722651,50.01378643,ALEKSANDRY 7,342
76,19.94540833,50.05979305,MIKOŁAJA ZYBLIKIEWICZA 5,342
77,19.93089843,50.04348703,KOMANDOSÓW 17,341
78,19.91923878,50.07457722,RACŁAWICKA 9,341
79,19.98948041,50.09206549,OSIEDLE OŚWIECENIA 45,340
80,20.0129723,50.09254624,OSIEDLE KALINOWE 23,339
81,20.0275098,50.06664541,BP. PIOTRA TOMICKIEGO 19,338
82,19.88224341,50.07983104,NA BŁONIE 9,337
83,20.01126057,50.08258552,OSIEDLE DYWIZJONU 303 46,336
84,20.01098746,50.08165696,OSIEDLE DYWIZJONU 303 51,336
85,20.02334864,50.01312036,HELENY 12,335
86,20.0110039,50.09142703,OSIEDLE KALINOWE 20,334
87,20.01163809,50.09182697,OSIEDLE KALINOWE 21,331
88,20.03793567,50.07584436,OSIEDLE ZGODY 7,326
89,20.00156524,50.08105544,BOLESŁAWA ORLIŃSKIEGO 6,326
90,20.03623851,50.07234905,OSIEDLE CENTRUM D 1,324
91,19.90619451,50.02617291,STEFANA GROTA-ROWECKIEGO 57,324
92,19.97288735,50.01099147,ŁUŻYCKA 67,324
93,20.02661046,50.06668387,BP. PIOTRA TOMICKIEGO 17,324
94,19.97564566,50.0102003,ADAMA BOCHENKA 12A,323
95,20.01036638,50.0910343,OSIEDLE KALINOWE 19,322
96,20.01028289,50.01324574,JANA KURCZABA 31,321
97,19.98130733,50.07870985,FIOŁKOWA 4,319
98,19.93008382,50.0445989,KOMANDOSÓW 4,318
99,20.01232551,50.092168,OSIEDLE KALINOWE 22,316
100,19.97874218,50.01659655,SPÓŁDZIELCÓW 13,316
101,20.01751004,50.01465304,ALEKSANDRY 3,315
102,20.01713493,50.01420322,ALEKSANDRY 5,314
103,20.02332775,50.01273335,HELENY 14,312
104,19.99185927,50.01257036,ANDRZEJA BADURSKIEGO 17,312
105,19.91397686,50.02727248,KOBIERZYŃSKA 96,311
106,20.01999895,50.09993291,OSIEDLE PIASTÓW 31,311
107,19.98104917,50.08406969,ERNESTA CIEŚLEWSKIEGO 3,311
108,19.99994349,50.08174873,BOLESŁAWA ORLIŃSKIEGO 1,311
109,20.00739487,50.06212078,GALICYJSKA 3B,311
110,19.99176716,50.09227955,OSIEDLE OŚWIECENIA 35,310
111,19.99287039,50.09153655,OSIEDLE OŚWIECENIA 11,309
112,20.00284598,50.08556175,OSIEDLE DYWIZJONU 303 19,307
113,20.01041921,50.08370171,OSIEDLE DYWIZJONU 303 43,303
114,19.9113938,50.08691971,JÓZEFA ELSNERA 24,303
115,19.92993889,50.0449287,KOMANDOSÓW 2,303
116,19.88821323,50.08056515,ARMII KRAJOWEJ 93,303
117,20.02326754,50.01232752,HELENY 16,302
118,19.99373589,50.09268154,OSIEDLE OŚWIECENIA 38,300
119,19.9173206,50.08685289,PIOTRA STACHIEWICZA 35,300
