,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
230,19.8835677,50.09073349,19.85085005,50.06730964,2024-03-28 07:48:16,230,1786358199,46,2024-03-28 07:49:02,0.575,46.0,2024-03-28 07:49:02,0.575,19.57467364030255,13.85494311403254,17.010720522162032,0.9285053232547665,1
233,19.8812018,50.08374207,19.93849826,50.06247417,2024-03-28 07:51:27,233,1786358199,46,2024-03-28 07:52:13,0.575,46.0,2024-03-28 07:52:13,0.5496000000000001,9.913496534910605,7.819412587585063,10.949789995714553,0.26186580604795195,1
234,19.88426607,50.10086275,19.90970544,50.07170129,2024-03-28 08:07:12,234,1786358199,202,2024-03-28 08:10:34,2.5265,202.0,2024-03-28 08:10:34,2.5265,10.122983289446015,4.970580789446016,10.077858197575509,0.5112793590438625,1
243,19.87977698,50.09787229,19.9297841,50.06302853,2024-03-28 08:04:13,243,1786358199,337,2024-03-28 08:09:50,4.220000000000001,352.0,2024-03-28 08:10:05,4.197800000000001,12.95168223679979,6.494970394704858,13.27354780283435,0.42022116251624175,1
246,19.872702,50.100578,19.95152845,50.06393839,2024-03-28 07:53:11,246,1786358199,46,2024-03-28 07:53:57,0.575,46.0,2024-03-28 07:53:57,0.575,21.040348201678103,9.280494298203582,12.436271706333073,0.9998166767986602,1
252,19.872702,50.100578,20.00351021,50.02011941,2024-03-28 08:13:06,252,1786358199,598,2024-03-28 08:23:04,7.4795,613.0,2024-03-28 08:23:19,7.205275,27.162467675328777,18.081258859607374,27.867311267736866,0.33073921724959254,1
253,19.87743591,50.09495179,19.90092573,50.07244596,2024-03-28 07:46:53,253,1786358199,355,2024-03-28 07:52:48,4.445,370.0,2024-03-28 07:53:03,4.325125,12.125867675383896,6.108941271882486,13.014843680011978,0.29132118932449363,1
255,19.88581591,50.10169903,19.95218458,50.02572925,2024-03-28 07:49:14,255,1786358199,244,2024-03-28 07:53:18,3.053,244.0,2024-03-28 07:53:18,3.053,20.88600131574829,11.719651535027573,17.353428943157066,0.971600477931871,1
260,19.88258136,50.10312457,19.92482932,50.0494139,2024-03-28 08:06:02,260,1786358199,28,2024-03-28 08:06:30,0.35,28.0,2024-03-28 08:06:30,0.35,17.944081534979176,12.41730385956704,15.348081267696532,0.9306037196273511,1
267,19.872702,50.100578,19.96647528,50.09906289,2024-03-28 08:08:47,267,1786358199,462,2024-03-28 08:16:29,5.7825,477.0,2024-03-28 08:16:44,5.527775000000001,24.0273637279992,15.46123745606294,23.569789864192433,0.6124384716286859,1
268,19.86581738,50.09091959,19.92604984,50.06390841,2024-03-28 08:07:09,268,1786358199,50,2024-03-28 08:07:59,0.625,50.0,2024-03-28 08:07:59,0.625,17.079857631520785,7.394216535038328,10.59999394316782,0.9984683298424677,1
274,19.87196956,50.0908316,19.91846245,50.0623097,2024-03-28 07:47:24,274,1786358199,273,2024-03-28 07:51:57,3.4154999999999998,273.0,2024-03-28 07:51:57,3.3034250000000003,13.929587806969213,8.991928859568382,14.876131267697875,0.2795804909491898,1
